client,station_hash_id,device_hash_id,device_model,max_power,observation_rows,first_observation,last_observation,retained,reason,included_capacity_kw
S1,19477f81a2058c850a09310b7795fd4f,6f79f7cb435c2e085c9194a5bb8b55e2,SDongleA-05,,0,,,False,no_rated_power_metadata,0.0
S1,19477f81a2058c850a09310b7795fd4f,94aedd81bad035cc73968fe5b06f808a,SUN2000-40KTL-M3,44.0,2470,2024-12-31 23:00:00,2025-05-31 23:00:00,True,rated_and_observed_in_full_hourly_fact,44.0
S1,19477f81a2058c850a09310b7795fd4f,c84b78eddb67e5ad02e16137af8a3f74,,,0,,,False,no_rated_power_metadata,0.0
S2,ae68bd65b1c87d7a5985d1d5498442af,052990e776d07b3b44b6c0add04f908b,SDongleA-05,,0,,,False,no_rated_power_metadata,0.0
S2,ae68bd65b1c87d7a5985d1d5498442af,c65473cc38070d9a622e063b9083eb43,SUN2000-40KTL-M3,44.0,1627,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,44.0
S3,55cddba5799e63f231eae0eb8cca8247,0f8e9b27f81c632bb02e7b062ec1fb3a,SUN2000-40KTL-M3,44.0,1635,2025-01-01 08:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,44.0
S3,55cddba5799e63f231eae0eb8cca8247,65cbb560ef01810cca7af8877ca994b4,Smart Logger,,0,,,False,no_rated_power_metadata,0.0
S3,55cddba5799e63f231eae0eb8cca8247,6f8fdd2e10f98b034d2e3304cb9fbe36,SUN2000-40KTL-M3,44.0,1594,2025-01-01 08:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,44.0
S3,55cddba5799e63f231eae0eb8cca8247,b2636b0a99361537624ad113fba363d4,SUN2000-40KTL-M3,44.0,1701,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,44.0
S3,55cddba5799e63f231eae0eb8cca8247,ceb8d70c896745366babb636f963487b,PowerMeter,,0,,,False,no_rated_power_metadata,0.0
S3,55cddba5799e63f231eae0eb8cca8247,e1064be3bcf17f4b2319774987bb4365,SUN2000-40KTL-M3,44.0,1635,2025-01-01 08:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,44.0
S3,55cddba5799e63f231eae0eb8cca8247,fb382f6297e50efe8f212303a58e1b6e,SUN2000-40KTL-M3,44.0,1652,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,44.0
S4,7534daaee746a48bc5b99132810f3e69,0bf12c739bc3bf549f05079f185f5e36,PowerMeter,,0,,,False,no_rated_power_metadata,0.0
S4,7534daaee746a48bc5b99132810f3e69,0e23b9fa122a5a1e1f2005e1f8ccb4ae,SUN2000-50KTL-M3,55.0,1699,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S4,7534daaee746a48bc5b99132810f3e69,2f6caba3c498edeb8eaacae2fe59c0d6,Smart Logger,,0,,,False,no_rated_power_metadata,0.0
S4,7534daaee746a48bc5b99132810f3e69,42a4960d658411c716206c043c41032b,SUN2000-50KTL-M3,55.0,1624,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S4,7534daaee746a48bc5b99132810f3e69,4dd34dace878e6bebf91a67f63cc3d61,SUN2000-50KTL-M3,55.0,1607,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S4,7534daaee746a48bc5b99132810f3e69,52a85060c52e3264499c2b7977c80ee4,SUN2000-50KTL-M3,55.0,1617,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S4,7534daaee746a48bc5b99132810f3e69,6187ec08ac3e790c94c9ae81b0af5e1c,SUN2000-50KTL-M3,55.0,1596,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S4,7534daaee746a48bc5b99132810f3e69,6773fffa87bd4b069c5be8cf15da35f4,SUN2000-50KTL-M3,55.0,1619,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S4,7534daaee746a48bc5b99132810f3e69,7688823f55741e3d661acf1289fe82e8,SUN2000-50KTL-M3,55.0,1695,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S4,7534daaee746a48bc5b99132810f3e69,cb305256d4f75b1e4f669edd0bb6d590,SUN2000-50KTL-M3,55.0,1580,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,143a2a64b6780b7f0e59c8389def9b73,SUN2000-50KTL-M3,55.0,1612,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,15de11e7df8168a60db8f55669d66e76,SUN2000-50KTL-M3,55.0,1616,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,160ea64085d4e06bd5d9a471687be8a2,SUN2000-50KTL-M3,55.0,1634,2024-12-31 23:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,23c1064d4afe10e3af7fff7bd9c2a227,SUN2000-50KTL-M3,55.0,1569,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,240bebcaf50ec4b2aa38d1920e35d49b,SUN2000-50KTL-M3,55.0,1596,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,280e223d3860ecc20598194f198609ae,PowerMeter,,0,,,False,no_rated_power_metadata,0.0
S5,b59685487a1fc5712e03c264f70cb656,324ca33bd1baa278096384a15ecf224e,PowerMeter,,0,,,False,no_rated_power_metadata,0.0
S5,b59685487a1fc5712e03c264f70cb656,35420019254f89a1515bb87cd9033c7a,SUN2000-50KTL-M3,55.0,0,,,False,absent_from_full_hourly_fact,0.0
S5,b59685487a1fc5712e03c264f70cb656,44d2bd4392557b79e07670b3c3271e83,SUN2000-50KTL-M3,55.0,1712,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,484582ba5d7642fa214a5d6e3b115b0a,SUN2000-50KTL-M3,55.0,1601,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,615509983ec3771acaaef2a0517288ff,SUN2000-50KTL-M3,55.0,1618,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,6b40d1c8dd3646dbbed653be28c84bf7,SUN2000-50KTL-M3,55.0,1572,2025-01-01 05:00:00,2025-05-31 18:00:00,True,rated_and_observed_in_full_hourly_fact,55.0
S5,b59685487a1fc5712e03c264f70cb656,9c0a99eee5e4e75b6abca6b42b0120b1,PowerMeter,,0,,,False,no_rated_power_metadata,0.0
S5,b59685487a1fc5712e03c264f70cb656,b8bf1b3617442d9f93aab5177c0fe74b,SUN2000-50KTL-M3,55.0,0,,,False,absent_from_full_hourly_fact,0.0
