client,split,variant,row_set,raw_rows,eligible_rows,excluded_rows,raw_start_utc,raw_end_utc,eligible_start_utc,eligible_end_utc,purpose
S1,train,A,past,1729,882,847,2024-12-31 23:00:00,2025-04-17 18:00:00,2025-01-02 06:00:00,2025-04-17 16:00:00,descriptive row audit; no model evaluation
S1,train,B,common,1729,882,847,2024-12-31 23:00:00,2025-04-17 18:00:00,2025-01-02 06:00:00,2025-04-17 16:00:00,descriptive row audit; no model evaluation
S1,val,A,past,370,247,123,2025-04-17 19:00:00,2025-05-14 09:00:00,2025-04-18 04:00:00,2025-05-14 09:00:00,descriptive row audit; no model evaluation
S1,val,B,common,370,247,123,2025-04-17 19:00:00,2025-05-14 09:00:00,2025-04-18 04:00:00,2025-05-14 09:00:00,descriptive row audit; no model evaluation
S1,test,A,past,371,263,108,2025-05-14 10:00:00,2025-05-31 23:00:00,2025-05-14 10:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S1,test,B,common,371,263,108,2025-05-14 10:00:00,2025-05-31 23:00:00,2025-05-14 10:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S2,train,A,past,1138,934,204,2025-01-01 05:00:00,2025-05-01 09:00:00,2025-01-02 06:00:00,2025-05-01 09:00:00,descriptive row audit; no model evaluation
S2,train,B,common,1138,934,204,2025-01-01 05:00:00,2025-05-01 09:00:00,2025-01-02 06:00:00,2025-05-01 09:00:00,descriptive row audit; no model evaluation
S2,val,A,past,244,229,15,2025-05-01 10:00:00,2025-05-16 13:00:00,2025-05-01 10:00:00,2025-05-16 13:00:00,descriptive row audit; no model evaluation
S2,val,B,common,244,229,15,2025-05-01 10:00:00,2025-05-16 13:00:00,2025-05-01 10:00:00,2025-05-16 13:00:00,descriptive row audit; no model evaluation
S2,test,A,past,245,229,16,2025-05-16 14:00:00,2025-05-31 18:00:00,2025-05-16 14:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S2,test,B,common,245,229,16,2025-05-16 14:00:00,2025-05-31 18:00:00,2025-05-16 14:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S3,train,A,past,1252,1051,201,2024-12-31 23:00:00,2025-04-28 09:00:00,2025-01-02 06:00:00,2025-04-21 15:00:00,descriptive row audit; no model evaluation
S3,train,B,common,1252,1051,201,2024-12-31 23:00:00,2025-04-28 09:00:00,2025-01-02 06:00:00,2025-04-21 15:00:00,descriptive row audit; no model evaluation
S3,val,A,past,268,246,22,2025-04-28 10:00:00,2025-05-15 05:00:00,2025-04-28 15:00:00,2025-05-15 05:00:00,descriptive row audit; no model evaluation
S3,val,B,common,268,246,22,2025-04-28 10:00:00,2025-05-15 05:00:00,2025-04-28 15:00:00,2025-05-15 05:00:00,descriptive row audit; no model evaluation
S3,test,A,past,269,252,17,2025-05-15 06:00:00,2025-05-31 18:00:00,2025-05-15 06:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S3,test,B,common,269,252,17,2025-05-15 06:00:00,2025-05-31 18:00:00,2025-05-15 06:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S4,train,A,past,1238,1051,187,2024-12-31 23:00:00,2025-04-28 15:00:00,2025-01-02 06:00:00,2025-04-28 15:00:00,descriptive row audit; no model evaluation
S4,train,B,common,1238,1051,187,2024-12-31 23:00:00,2025-04-28 15:00:00,2025-01-02 06:00:00,2025-04-28 15:00:00,descriptive row audit; no model evaluation
S4,val,A,past,265,248,17,2025-04-28 16:00:00,2025-05-15 08:00:00,2025-04-28 16:00:00,2025-05-15 08:00:00,descriptive row audit; no model evaluation
S4,val,B,common,265,248,17,2025-04-28 16:00:00,2025-05-15 08:00:00,2025-04-28 16:00:00,2025-05-15 08:00:00,descriptive row audit; no model evaluation
S4,test,A,past,266,249,17,2025-05-15 09:00:00,2025-05-31 18:00:00,2025-05-15 09:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S4,test,B,common,266,249,17,2025-05-15 09:00:00,2025-05-31 18:00:00,2025-05-15 09:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S5,train,A,past,1239,1051,188,2024-12-31 23:00:00,2025-04-28 15:00:00,2025-01-02 06:00:00,2025-04-28 15:00:00,descriptive row audit; no model evaluation
S5,train,B,common,1239,1051,188,2024-12-31 23:00:00,2025-04-28 15:00:00,2025-01-02 06:00:00,2025-04-28 15:00:00,descriptive row audit; no model evaluation
S5,val,A,past,265,248,17,2025-04-28 16:00:00,2025-05-15 08:00:00,2025-04-28 16:00:00,2025-05-15 08:00:00,descriptive row audit; no model evaluation
S5,val,B,common,265,248,17,2025-04-28 16:00:00,2025-05-15 08:00:00,2025-04-28 16:00:00,2025-05-15 08:00:00,descriptive row audit; no model evaluation
S5,test,A,past,266,249,17,2025-05-15 09:00:00,2025-05-31 18:00:00,2025-05-15 09:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S5,test,B,common,266,249,17,2025-05-15 09:00:00,2025-05-31 18:00:00,2025-05-15 09:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S6,train,A,past,1231,1041,190,2024-12-31 23:00:00,2025-04-28 18:00:00,2025-01-02 06:00:00,2025-04-28 17:00:00,descriptive row audit; no model evaluation
S6,train,B,common,1231,1041,190,2024-12-31 23:00:00,2025-04-28 18:00:00,2025-01-02 06:00:00,2025-04-28 17:00:00,descriptive row audit; no model evaluation
S6,val,A,past,264,248,16,2025-04-29 03:00:00,2025-05-15 10:00:00,2025-04-29 03:00:00,2025-05-15 10:00:00,descriptive row audit; no model evaluation
S6,val,B,common,264,248,16,2025-04-29 03:00:00,2025-05-15 10:00:00,2025-04-29 03:00:00,2025-05-15 10:00:00,descriptive row audit; no model evaluation
S6,test,A,past,264,247,17,2025-05-15 11:00:00,2025-05-31 18:00:00,2025-05-15 11:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S6,test,B,common,264,247,17,2025-05-15 11:00:00,2025-05-31 18:00:00,2025-05-15 11:00:00,2025-05-31 17:00:00,descriptive row audit; no model evaluation
S7,train,A,past,4759,2709,2050,2024-06-27 12:00:00,2025-02-19 10:00:00,2024-06-28 12:00:00,2025-02-19 10:00:00,descriptive row audit; no model evaluation
S7,train,B,common,4759,2709,2050,2024-06-27 12:00:00,2025-02-19 10:00:00,2024-06-28 12:00:00,2025-02-19 10:00:00,descriptive row audit; no model evaluation
S7,val,A,past,1020,593,427,2025-02-19 11:00:00,2025-04-13 11:00:00,2025-02-19 11:00:00,2025-04-13 11:00:00,descriptive row audit; no model evaluation
