client,split,past_rows,common_rows,past_only_rows,common_only_rows,identical_timestamps,identical_past_inputs,identical_targets
S1,train,882,882,0,0,True,True,True
S1,val,247,247,0,0,True,True,True
S1,test,263,263,0,0,True,True,True
S2,train,934,934,0,0,True,True,True
S2,val,229,229,0,0,True,True,True
S2,test,229,229,0,0,True,True,True
S3,train,1051,1051,0,0,True,True,True
S3,val,246,246,0,0,True,True,True
S3,test,252,252,0,0,True,True,True
S4,train,1051,1051,0,0,True,True,True
S4,val,248,248,0,0,True,True,True
S4,test,249,249,0,0,True,True,True
S5,train,1051,1051,0,0,True,True,True
S5,val,248,248,0,0,True,True,True
S5,test,249,249,0,0,True,True,True
S6,train,1041,1041,0,0,True,True,True
S6,val,248,248,0,0,True,True,True
S6,test,247,247,0,0,True,True,True
S7,train,2709,2709,0,0,True,True,True
S7,val,593,593,0,0,True,True,True
S7,test,605,605,0,0,True,True,True
